year;mileage;engine;seats;torque_upd;max_torque_rpm;max_power
1983;;;;;;
1991;;;;;;
1994;14.450000000000001;1395.5;4.5;82.5;2350.0;44.5
1995;;;;;;
1996;16.1;796.0;4.0;59.0;2500.0;37.0
1997;16.1;796.0;4.0;59.0;2500.0;37.0
1998;16.1;796.0;4.5;59.0;2750.0;37.0
1999;16.1;894.5;4.5;59.0;2750.0;48.5
2000;16.1;796.0;5.0;62.0;3000.0;46.3
2001;16.1;796.0;4.0;59.0;2500.0;37.0
2002;16.700000000000003;993.0;5.0;70.0;3250.0;60.0
2003;16.1;998.0;5.0;78.0;2800.0;63.0
2004;16.1;995.5;5.0;59.0;3000.0;61.0
2005;15.4;1341.0;5.0;62.0;3200.0;70.0
2006;16.9;1405.0;5.0;59.0;3000.0;68.0
2007;17.25;1396.0;5.0;62.0;3000.0;67.0
2008;17.5;1396.0;5.0;84.0;3000.0;70.0
2009;17.88;1248.0;5.0;99.04;3000.0;73.9
2010;18.0;1248.0;5.0;111.7;3000.0;75.0
2011;18.8;1396.0;5.0;142.5;2750.0;75.0
2012;19.4;1396.0;5.0;160.0;2750.0;76.5
2013;20.36;1396.0;5.0;190.0;2750.0;81.8
2014;20.14;1373.0;5.0;190.0;2750.0;82.0
2015;20.4;1364.0;5.0;190.0;3000.0;88.5
2016;20.4;1248.0;5.0;172.5;3400.0;86.8
2017;21.1;1248.0;5.0;190.0;3000.0;85.3
2018;21.19;1248.0;5.0;173.0;3250.0;84.0
2019;19.44;1199.0;5.0;142.0;4000.0;88.76
2020;20.89;1197.0;5.0;113.75;4000.0;81.86
